brand,model,prod_class,prod_short_descr,has_reviews,url,reported_exceptions
HP,HP Pavilion 15-bc020nr computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 12GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-15-bc020nr-387887/user-reviews#user-reviews,
HP,HP Pavilion 17 Gaming computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 12GB of memory, Nvidia GeForce 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-17-gaming-386457/user-reviews#user-reviews,
HP,HP Pavilion 17-g148dx computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i3-5020U 2.2GHz processor, 4GB of memory, Intel HD Graphics 5500 graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-17-g148dx-386109/user-reviews#user-reviews,
HP,HP Pavilion M3-U101DX x360 computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i3-7100U 2.4GHz processor, 6GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-m3-u101dx-x360-388646/user-reviews#user-reviews,
HP,HP Pavilion x360 11.6 computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Celeron N3060 1.6GHz processor, 4GB of memory, Intel HD Graphics 400 graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-11-6-386461/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
HP,HP Pavilion x360 13.3 computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-13-3-386463/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
HP,HP Pavilion x360 15.6 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-15-6-386462/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
HP,HP Pavilion x360-11t computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 4GB of memory, Intel HD Graphics graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-11t-386338/user-reviews#user-reviews,
HP,HP Pavilion x360-13t computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i3-6100U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-13t-386339/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
HP,HP Spectre x360 13-AC013DX computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7500U 2.7GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/hp-spectre-x360-13-ac013dx-388767/user-reviews#user-reviews,
HP,HP Spectre x360 13t computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/hp-spectre-x360-13t-387888/user-reviews#user-reviews,
HP,HP Spectre x360-15t computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/hp-spectre-x360-15t-385668/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
HP,HP Stream 14-ax010nr computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Celeron N3060 1.6GHz processor, 4GB of memory, Intel HD Graphics 400 graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/hp-stream-14-ax010nr-387686/user-reviews#user-reviews,
HP,HP x2 10-p020nr computer,laptop,"A 10.1-inch detachable laptop tested with Windows 10 Home, an Intel Atom x5-Z8350 1.44GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/hp-x2-10-p020nr-387886/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Lenovo,Lenovo 310-15ABR computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an AMD A12-9700P 2.5GHz processor, 8GB of memory, AMD Radeon R7 Graphics graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-310-15abr-388644/user-reviews#user-reviews,
Lenovo,Lenovo Flex 3 11 computer,laptop,"An 11.6-inch convertible laptop tested with Windows 8.1, an Intel Celeron N2940 1.83GHz processor, 4GB of memory, Intel HD Graphics graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-flex-3-11-379139/user-reviews#user-reviews,
Lenovo,Lenovo Flex 4 computer,laptop,"A 14-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-flex-4-386342/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Lenovo,Lenovo Flex 5 15 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7500U 2.7GHz processor, 16GB of memory, Nvidia GeForce 940MX/Intel HD Graphics 620 graphics, a touchscreen, and a 512GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-flex-5-15-389338/user-reviews#user-reviews,
Lenovo,Lenovo G70-80Q5004QUS computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an AMD A8-6410 2GHz processor, 4GB of memory, AMD Radeon R5 graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-g70-80q5004qus-385669/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Lenovo,Lenovo Ideapad 500S computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 8GB of memory, Nvidia GeForce 940M/Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-500s-385671/user-reviews#user-reviews,
Lenovo,Lenovo Ideapad 510s computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, AMD Radeon R7 M460/Intel HD Graphics 520 graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-510s-386297/user-reviews#user-reviews,
Lenovo,"Lenovo Ideapad 700 15"" computer",laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce 950M/Intel HD Graphics 530 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-700-15-385672/user-reviews#user-reviews,
Lenovo,"Lenovo Ideapad 700 17"" computer",laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 8GB of memory, Nvidia GeForce 940M/Intel HD Graphics 530 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-700-17-385673/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Lenovo,Lenovo Ideapad Miix 700 computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 4GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-miix-700-385849/user-reviews#user-reviews,
Lenovo,Lenovo ThinkPad X1 Tablet computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 4GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-tablet-386111/user-reviews#user-reviews,
Lenovo,Lenovo ThinkPad X260 computer,laptop,"A 12.5-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 192GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x260-386344/user-reviews#user-reviews,
Lenovo,"Lenovo Yoga 710 14"" computer",laptop,"A 14-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Nvidia GeForce 940MX/Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-yoga-710-14-386361/user-reviews#user-reviews,
LG,LG Gram 13 - Touchscreen computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-13-touchscreen-388777/user-reviews#user-reviews,
LG,LG gram 13Z950 computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-5200U 2.2GHz processor, 8GB of memory, Intel HD Graphics 5500 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-13z950-384803/user-reviews#user-reviews,
LG,LG Gram 14 - Touchscreen computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-14-touchscreen-388778/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
LG,LG Gram 15 - Touchscreen computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-15-touchscreen-388773/user-reviews#user-reviews,
Microsoft,Microsoft Surface 3 computer,laptop,"A 10.8-inch detachable laptop tested with Windows 8.1, an Intel Atom x7-Z8700 1.6GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/microsoft-surface-3-384272/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Microsoft,Microsoft Surface Book (512GB) computer,laptop,"A 13.5-inch detachable laptop tested with Windows 10 Pro, an Intel Core I7-6600U 2.6GHz processor, 16GB of memory, Nvidia GeForce 965M/Intel HD Graphics 520 graphics, a touchscreen, and a 512GB solid state drive.",False,http://www.consumerreports.org/products/laptop/microsoft-surface-book-512gb-388051/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Microsoft,"Microsoft Surface Laptop (Core i5, 128GB) computer",laptop,"A 13.5-inch laptop tested with Windows 10 Pro, an Intel Core i5-7200U 2.5GHz processor, 4GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 128GB hybrid drive solid state drive.",False,http://www.consumerreports.org/products/laptop/microsoft-surface-389343/user-reviews#user-reviews,
Microsoft,"Microsoft Surface Laptop (Core i5, 256GB) computer",laptop,"A 13.5-inch laptop tested with Windows 10 Pro, an Intel Core i5-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 256GB hybrid drive solid state drive.",False,http://www.consumerreports.org/products/laptop/microsoft-surface-laptop-core-i5-256gb-392723/user-reviews#user-reviews,
Samsung,Samsung ATIV Book 9 Plus NP940X3K-K03US computer,laptop,"A 13.3-inch laptop tested with Windows 8.1, an Intel Core i5-5200U 2.2GHz processor, 4GB of memory, Intel HD Graphics 5500 graphics, a touchscreen, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/samsung-ativ-book-9-plus-np940x3k-k03us-371600/user-reviews#user-reviews,
Samsung,Samsung Galaxy TabPro S computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 4GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/samsung-galaxy-tabpro-s-385907/user-reviews#user-reviews,
Samsung,Samsung Notebook 5 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 8GB of memory, NVIDIA GeForce 920MX/Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hybrid drive hard drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-5-388770/user-reviews#user-reviews,
Samsung,Samsung Notebook 7 740U3L computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-7-740u3l-387109/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Samsung,Samsung Notebook 7 Spin 13 computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 12GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hybrid drive hard drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-7-spin-13-388953/user-reviews#user-reviews,
Samsung,Samsung Notebook 7 Spin 15 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-7500U 2.7GHz processor, 12GB of memory, NVIDIA GeForce 940MX/Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hybrid drive hard drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-7-spin-15-388954/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Toshiba,Toshiba dynaPad WT12PE-A64 computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Atom x5-Z8300 1.44GHz processor, 4GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/toshiba-dynapad-wt12pe-a64-385691/user-reviews#user-reviews,
Toshiba,Toshiba Satellite Click10 LX0W­C64 computer,laptop,"A 10.2-inch detachable laptop tested with Windows 10 Home, an Intel Atom x5-Z8300 1.44GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/toshiba-satellite-click10-lx0w-c64-384805/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Toshiba,Toshiba Satellite Radius P25W-C2300-4K computer,laptop,"A 12.5-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/toshiba-satellite-radius-p25w-c2300-4k-385005/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Vaio,Vaio S computer,laptop,"A 13.3-inch laptop tested with Windows 10 Pro, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/vaio-s-386113/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Acer,Acer Aspire E5-574-53QS computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-e5-574-53qs-385910/user-reviews#user-reviews,
Acer,Acer Aspire ES1-571-P1MG computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Pentium 3556U 1.7GHz processor, 4GB of memory, Intel HD Graphics graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-es1-571-p1mg-386346/user-reviews#user-reviews,
Acer,Acer Aspire R5-571T-57Z0 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/user-reviews#user-reviews,
Acer,Acer Aspire R7-372T-54TM computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-r7-372t-54tm-387107/user-reviews#user-reviews,
Acer,Acer Spin 5 SP513-51-55ZR computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-spin-5-sp513-51-55zr-388098/user-reviews#user-reviews,
Acer,Acer Swift 3 SF314-51-52W2 computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-swift-3-sf314-51-52w2-387923/user-reviews#user-reviews,
Apple,Apple MacBook Pro 15-inch with Touch Bar MPTU2LL/A computer,laptop,"A 15.4-inch laptop tested with macOS Sierra 10.12, an Intel Core i7 2.8GHz processor, 16GB of memory, AMD Radeon Pro 555/Intel HD Graphics 630 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-touch-bar-392574/user-reviews#user-reviews,
Asus,Asus EeeBook E402MA-EH computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Celeron N2840 2.16GHz processor, 2GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-eeebook-e402ma-eh-386280/user-reviews#user-reviews,
Asus,Asus Q304UA-BBI5T10 computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 6GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-q304ua-bbi5t10-386676/user-reviews#user-reviews,
Asus,Asus T300CHI-RHM5T06 computer,laptop,"A 12.5-inch detachable laptop tested with Windows 10 Home, an Intel Core M-5Y10c 0.8GHz processor, 4GB of memory, Intel HD Graphics 5300 graphics, a touchscreen, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-t300chi-rhm5t06-385010/user-reviews#user-reviews,
Asus,Asus Transformer Book T100CHI-C1 computer,laptop,"A 10.1-inch detachable laptop tested with Windows 8.1 with Bing, an Intel Atom Z3775 1.46GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-transformer-book-t100chi-c1-379138/user-reviews#user-reviews,
Asus,Asus VivoBook E403SA-US21 computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Pentium N3700 1.6GHz processor, 4GB of memory, Intel HD Graphics graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/asus-vivobook-e403sa-us21-386117/user-reviews#user-reviews,
Asus,Asus X555YA-DB84Q computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an AMD A8-7410 2.2GHz processor, 8GB of memory, AMD Radeon R5 Graphics graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-x555ya-db84q-387687/user-reviews#user-reviews,
Dell,Dell Inspiron I3452-600BLK computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 2GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/dell-inspiron-i3452-600blk-384994/user-reviews#user-reviews,
Dell,Dell Inspiron i5568-5240 computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/dell-inspiron-i5568-5240-387264/user-reviews#user-reviews,
HP,HP ENVY x360 15t Touch 7th Gen computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 8GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-envy-x360-15t-touch-7th-gen-387889/user-reviews#user-reviews,
HP,HP Laptop 17.3 computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/hp-laptop-17-3-386464/user-reviews#user-reviews,
HP,HP Pavilion x2 12b010nr computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Atom x5-Z8500 1.44GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/hp-pavilion-x2-12b010nr-385667/user-reviews#user-reviews,
Huawei,Huawei Matebook computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Core m3-6Y30 0.9GHz processor, 4GB of memory, Intel HD Graphics 515 graphics, a touchscreen, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/huawei-matebook-387684/user-reviews#user-reviews,
Lenovo,Lenovo 110-15IBR 80T7000HUS computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3060 1.6GHz processor, 4GB of memory, Intel HD Graphics 400 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-110-15ibr-386678/user-reviews#user-reviews,
Lenovo,Lenovo 300-17ISK 80QH008MUS computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i3-6100U 2.3GHz processor, 4GB of memory, Intel HD Graphics 520 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-300-17isk-386677/user-reviews#user-reviews,
Lenovo,Lenovo Flex 3 80LY0008US computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 4GB of memory, Intel HD Graphics graphics, a touchscreen, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-flex-3-80ly0008us-385003/user-reviews#user-reviews,
Lenovo,Lenovo Ideapad 300S computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-300s-385670/user-reviews#user-reviews,
Lenovo,Lenovo Ideapad Miix 310 computer,laptop,"A 10.1-inch detachable laptop tested with Windows 10 Home, an Intel Atom Z8350 1.44GHz processor, 2GB of memory, Intel HD Graphics 400 graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-miix-310-387117/user-reviews#user-reviews,
Lenovo,Lenovo Ideapad Y700 80NU000UUS computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 8GB of memory, AMD Radeon R9 M375/Intel HD Graphics 530 graphics, and a 500GB hard drive and 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nu000sus-386451/user-reviews#user-reviews,
Lenovo,Lenovo Ideapad Y700 80NW000PUS computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 8GB of memory, NVIDIA GeForce GTX 960M/Intel HD Graphics 530 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nw000pus-386453/user-reviews#user-reviews,
Lenovo,Lenovo Ideapad Y700 80Q0008WUS computer,laptop,"A 17.3-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 8GB of memory, Nvidia GeForce 960M/Intel HD Graphics 530 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80q0008wus-386452/user-reviews#user-reviews,
Lenovo,Lenovo ThinkPad N22 computer,laptop,"An 11.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 4GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-n22-387458/user-reviews#user-reviews,
Lenovo,Lenovo ThinkPad X1 Carbon 4th Gen computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-carbon-4th-gen-386343/user-reviews#user-reviews,
LG,LG gram 14Z950 computer,laptop,"A 14-inch laptop tested with Windows 10 Home, an Intel Core i5-5200U 2.2GHz processor, 8GB of memory, Intel HD Graphics 5500 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-14z950-384804/user-reviews#user-reviews,
LG,LG gram 15Z960 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-15z-960-386112/user-reviews#user-reviews,
Samsung,Samsung ATIV Book 9 NP930X2K-K02US computer,laptop,"A 12.2-inch laptop tested with Windows 8.1, an Intel Core M-5Y31 0.9GHz processor, 4GB of memory, Intel HD Graphics 5300 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/samsung-ativ-book-9-np930x2k-k02us-371599/user-reviews#user-reviews,
Samsung,Samsung Notebook 7 740U5LE computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 12GB of memory, Nvidia GeForce 940MX/Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-7-740u5le-387110/user-reviews#user-reviews,
